视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 20:09,可以！！！！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 18:27,来了就要守我们这里的规矩
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 16:13,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 16:25,帅
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 16:02,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 15:42,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 14:14,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 13:28,这个做法简直太负责任了，我大中华就是厉害
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 11:01,日本：人多真是力量大啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 11:33,想去看！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 09:06,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-17 08:45,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-16 18:04,China yyds
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-16 18:40,呼和浩特的路过
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-16 12:40,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-16 12:18,太牛了。。。
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-15 21:36,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-15 17:08,耶耶耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-15 16:50,耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-15 16:11,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-14 10:19,纯主场，美滋滋
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-13 12:12,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 22:52,支持
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 22:29,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 18:21,哪里抢门票
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 15:03,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 13:28,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 10:23,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-12 07:37,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 23:15,支持！！！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 22:31,好！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 18:44,nice
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 16:27,威武霸气
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 16:36,支持这一决定！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 15:41,好耶，我双手双脚都支持
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 14:45,改造比重建好的不止一点点
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 14:32,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 12:32,支持
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 12:24,国外运动员先隔离一个月，确保万无一失
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 10:47,利国利民
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 09:48,nice
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-11 08:29,牛逼
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 20:37,这就对了   禁止带毒入境
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 20:51,强烈支持
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 19:35,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 19:36,谨防黄牛！谨防黄牛！谨防黄牛！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 19:24,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 18:56,工人叔叔好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 16:33,好嘞
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 14:54,期待
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 12:52,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 12:58,哈哈哈，妙啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 11:21,666666
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 11:21,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 10:05,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 10:12,就是说不能乱跑
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 10:20,请大家关注关注山西雨灾！现在急缺物资，拜托了！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 09:05,支持
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-10 02:08,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 22:28,好耶⊙∀⊙！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 21:54,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 20:30,这次能不能买到开幕式的票哦
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 20:07,准时收看
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 20:48,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 20:17,我的地盘我做主
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 19:13,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 19:07,支持！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 19:06,妙
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 19:50,太好啦
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 17:41,英明决定
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 15:58,啥时候售票，我已经迫不及待了
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 13:37,好耶，这下放心了许多
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-09 12:16,好耶
